"Sell_value","data_osservazione","days_to_maturity","r_norisk_daily","r_norisk_annual","r_composite"
"99.099278","2023-07-15","61","0.00908908740990022","0.0556701966828079","0.000888128241912027"
"99.099278","2023-07-17","59","0.00908908740990022","0.0576106830929861","0.00094936086990941"
"99.1445","2023-07-18","58","0.0086288195512611","0.0555954702123695","0.000932845421392268"
"99.1735","2023-07-19","57","0.00833387951418469","0.0546197061117875","0.000932986557952401"
"99.1735","2023-07-20","56","0.00833387951418469","0.05562169827994","0.000966605014919436"
"99.191111","2023-07-21","55","0.00815485371466394","0.0554159051863274","0.000980634766691227"
"99.2025","2023-07-22","54","0.00803911191754239","0.0556504804306546","0.00100291011214745"
"99.243111","2023-07-24","52","0.00762661501008368","0.0548148950121814","0.0010262557032548"
"99.243111","2023-07-25","51","0.00762661501008368","0.0559192081603883","0.00106689558692849"
"99.268056","2023-07-26","50","0.00737340922642827","0.0551300686361829","0.00107328094271042"
"99.282694","2023-07-27","49","0.00722488453022834","0.0551259688641914","0.00109510533810637"
